ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER,ID,NAME
2377,"Alex Copeland",22,12,2.2,4.5,0.49,1.6,3.3,0.493,0.5,1.1,0.48,1.2,1.6,0.75,1,1.3,0.4,0,0.5,0.6,6.1,3.661,1002,"Alex Copeland"
1901,"Alex Dubovitskiy",6,7.2,0.5,1,0.5,0.2,0.2,1,0.3,0.8,0.4,0,0.3,0,0.5,0,0.2,0,0.3,0.5,1.3,0.683,1327,"Alex Dubovitskiy"
1017,"Alex Fountain",86,14.1,1.4,3.5,0.407,1.1,2.6,0.417,0.3,0.9,0.378,1.2,1.5,0.787,2.2,0.6,0.3,0.3,0.6,1.5,4.3,3.419,1603,"Alex Fountain"
1088,"Alex Hart",43,8.3,1.2,2.7,0.441,0.9,1.8,0.513,0.3,1,0.31,0.5,0.9,0.541,2,0.4,0.1,0.2,0.6,1,3.2,2.525,2045,"Alex Hart"
1964,"Alex Hicks",9,19,2.2,5.4,0.408,2.1,4.7,0.452,0.1,0.8,0.143,1.2,1.9,0.647,5.7,0.4,0.8,0.7,1.8,2.3,5.8,6.068,2144,"Alex Hicks"
2291,"Alex Hobbs",6,14.2,0.8,3.2,0.263,0.8,2.2,0.385,0,1,0,1.2,1.3,0.875,1.7,1.2,0.5,0.2,1.2,1.8,2.8,1.865,2176,"Alex Hobbs"
59,"Alex Illikainen",43,10.4,0.7,1.9,0.373,0.5,1.1,0.417,0.3,0.8,0.314,0.3,0.5,0.682,1.7,0.4,0.2,0.1,0.3,0.9,2,2.478,2306,"Alex Illikainen"
1336,"Alex Long",44,18,2.1,4.9,0.435,2.1,4.8,0.443,0,0.1,0,1.4,2.1,0.674,4.4,0.5,0.4,1.2,1.4,2.6,5.7,5.651,2924,"Alex Long"
3951,"Alex Murphy",72,12.5,1.8,3.7,0.483,1.5,2.4,0.621,0.3,1.3,0.232,0.9,1.6,0.554,2,0.4,0.3,0.2,0.9,1.2,4.8,2.868,3467,"Alex Murphy"
351,"Alex Olesinski",23,7,0.3,1.1,0.269,0.3,0.8,0.316,0,0.3,0.143,0.6,0.9,0.65,2,0.2,0.2,0,0.4,1.5,1.2,1.763,3654,"Alex Olesinski"
145,"Alex Paquin",34,5.3,0.4,1,0.4,0.4,0.7,0.522,0.1,0.4,0.167,0.1,0.3,0.4,0.6,0.1,0.1,0,0.3,0.9,1,0.644,3711,"Alex Paquin"
