ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
2724,Tory Miller,71,12.4,1.6,3.5,0.466,1.6,3.5,0.472,0,0.1,0.2,1.1,1.8,0.622,3.4,0.2,0.2,0.3,0.9,1.5,4.4,3.621
648,Torye Pelham,69,17.4,2.1,3.5,0.589,2,3.2,0.618,0.1,0.3,0.286,0.9,1.2,0.723,4.2,0.3,0.9,0.6,0.8,2.2,5.1,6.968
4052,Toure' Murry,139,28.9,3.7,9.2,0.405,2.8,6.1,0.454,1,3.1,0.311,2.6,3.5,0.763,4.5,3.1,1.3,0.3,2.4,1.2,11.1,8.546
1530,Tourron Whitfield,36,1.5,0.1,0.3,0.2,0,0.1,0,0.1,0.2,0.25,0.1,0.2,0.833,0.1,0.1,0,0,0.1,0.2,0.3,0.127
2422,Tra Holder,74,29.6,3.4,8.9,0.379,2.4,5.9,0.404,1,3,0.33,3.6,5,0.726,2.9,3.5,0.8,0,2.5,1.9,11.3,5.905
1478,Tra'Vaughn White,56,24.2,3.5,9.2,0.376,2.3,5.6,0.408,1.2,3.6,0.325,2.1,2.6,0.784,2.3,1.9,0.7,0,1.2,1.8,10.2,5.086
2105,Tra'von Joseph,92,17.4,1.7,3.5,0.475,1.4,2.8,0.51,0.2,0.7,0.333,1,1.4,0.705,3.6,0.9,0.5,0.2,0.9,2.1,4.5,5.102
2495,Tra-Deon Hollins,42,31.4,4.1,9.1,0.451,3.3,6.3,0.532,0.8,2.8,0.271,3.1,4,0.759,4.6,6.2,3.7,0.3,3.2,2.6,12,14.023
3077,Trace Cureton,20,5.9,0.4,1.5,0.276,0.3,0.9,0.278,0.2,0.6,0.273,0.4,0.8,0.533,0.7,0.3,0.2,0,0.4,0.3,1.4,0.701
707,Traci Carter,41,22.4,1.6,4.4,0.372,1,2.5,0.408,0.6,1.9,0.325,1.3,1.8,0.726,2.4,4.4,1.2,0.1,2.1,2.8,5.2,6.459
104,Tracy Abrams,113,26.8,2.9,7.7,0.383,2.2,5.1,0.423,0.8,2.6,0.302,2.2,2.9,0.748,3.1,2.9,1.1,0.1,2,2.2,8.8,6.306
280,Tracy Ham,7,2.7,0,0.4,0,0,0.3,0,0,0.1,0,0,0.3,0,0,0.1,0,0,0.4,0.6,0,-0.804
1539,Tracy Hector,18,16.8,0.6,1.5,0.37,0.6,1.4,0.4,0,0.1,0,0.4,0.9,0.438,1.9,1.2,0.6,0.1,1.1,1.5,1.5,2.581
3418,Tracy Moore,121,29.2,5.8,12.7,0.461,5.9,13.2,0.446,1.3,2.8,0.454,2.8,3.8,0.733,3.3,1.8,0.7,0.1,2.2,2.3,15.1,7.478
4040,Tracy Murray,98,30.1,6.5,12.9,0.5,4.4,8,0.553,2,4.9,0.411,3.4,4.2,0.791,6.4,1.5,1.2,0.9,1.8,2.8,18.3,13.554
197,Tracy Rankins,52,32.7,3.3,8.7,0.375,2,5,0.411,1.2,3.8,0.328,2.3,3.2,0.725,2.1,1.6,0.7,0.1,2.1,0.8,10.1,3.278
2109,Tradarrius McPhearson,49,24.9,2.6,6.4,0.399,1.8,4,0.444,0.8,2.4,0.325,1.8,2.8,0.645,2.6,1.6,1,0.1,1.9,2.1,7.8,4.364
1136,Trae Anderson,60,24.3,5.3,11.1,0.48,5,9.8,0.505,0.4,1.2,0.284,3,4.5,0.659,5.1,1.8,0.9,0.7,2.6,3,14,8.817
1146,Trae Bell-Haynes,80,27,3.2,6.6,0.488,2.7,5.3,0.5,0.6,1.3,0.436,3.5,4.4,0.79,2.5,3.5,1.1,0.1,2.9,2.2,10.4,7.073
3720,Trae Bryant,22,10.6,0.8,2.7,0.3,0.5,1.1,0.417,0.4,1.6,0.222,0.4,0.5,0.8,1.3,0.6,0.4,0.1,0.9,1,2.4,1.606
1020,Trae Golden,127,26.6,3.2,8,0.397,2.1,4.8,0.443,1,3.1,0.326,3.2,4,0.798,2.4,3.5,0.6,0,2,1.7,10.6,6.096
1036,Trae Goldston,122,26.2,3,7.8,0.383,1.4,3.5,0.4,1.6,4.4,0.369,0.9,1.2,0.81,1.4,1.2,0.5,0.1,1.4,0.4,8.5,3.199
330,Traevon Jackson,111,24.7,2.5,6.2,0.4,1.8,4.3,0.43,0.6,1.9,0.332,2,2.6,0.782,2.5,2.8,0.7,0.1,1.7,1.8,7.6,5.289
4075,Trahson Burrell,63,23.9,3.5,8,0.436,2.7,5.4,0.497,0.8,2.5,0.306,1.8,2.5,0.723,5.7,2.3,1,0.6,1.3,2.2,9.6,10.125
231,Trajan Langdon,136,28.9,4.6,10.1,0.451,2.1,4.3,0.486,2.5,5.9,0.426,2.8,3.3,0.862,2.9,1.9,0.9,0.2,1.5,1.5,14.5,8.574
4239,Tramaine Butler,120,27.5,3.1,8.2,0.382,2.2,5.1,0.436,0.9,3.1,0.294,1.9,3.6,0.522,3.8,1.6,1.4,0.2,1.8,2.2,9.1,5.431
160,Tramaine Isabell,55,15.7,1.7,5,0.35,1.2,3.1,0.392,0.5,1.9,0.282,1.2,1.5,0.753,1.5,1.3,0.7,0,1.3,1.2,5.2,2.404
900,Tramar Beaman,49,5.1,0.4,1.1,0.389,0.2,0.4,0.4,0.3,0.7,0.382,0.3,0.5,0.708,0.6,0.3,0.3,0.1,0.4,0.4,1.5,1.287
3713,Tramar Sutherland,65,10.9,0.9,2.2,0.394,0.8,1.9,0.423,0.1,0.3,0.211,0.9,1.5,0.6,1.8,0.4,0.4,0,0.5,1.1,2.7,2.248
3438,Tramayne Moorer,68,24.4,3.1,6.5,0.474,2.9,5.9,0.494,0.2,0.6,0.286,3.1,4.4,0.704,5,0.5,0.8,0.4,1.9,1.6,9.5,6.511
3714,Tramique Sutherland,24,36,3.9,10.8,0.358,3.3,9,0.367,0.6,1.9,0.311,3,4,0.75,3.9,3,1,0,2.4,2,11.3,5.954
1591,Trant Simpson,114,31.9,4.4,12.5,0.356,3.1,8.5,0.364,1.3,3.9,0.338,4.1,5.1,0.82,3,4.1,1.6,0,3.3,0.5,14.4,6.634
