Simple_PER,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
9.415,Danny Ainge,1042,508,26.6,4.5,9.5,0.469,1,2.5,0.378,3.5,7,0.502,0.519,1.6,1.9,0.846,0.7,2,2.7,4,1.1,0.1,1.5,2.4,11.5,9.415
3.645,Matthew Aitch,45,0,14.2,2.2,5.5,0.405,0,0,0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,0,0,3.6,0.4,0,0,0.8,1.5,5.6,3.645
5.551,Alexis Ajinca,265,62,13.1,2.2,4.3,0.502,0,0.1,0.308,2.1,4.2,0.509,0.507,0.9,1.1,0.807,1.2,2.7,3.8,0.5,0.3,0.6,0.8,2.3,5.3,5.551
-0.41,Henry Akin,88,0,8.4,1.5,4.2,0.35,0,1,0,1.5,4.2,0.352,0.35,0.5,0.8,0.676,0,2,2.1,0.5,0,0,2,1.5,3.5,-0.41
0.987,Josh Akognon,3,0,3,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,0,0,0.3,0.3,0.3,0,0,0,1,1.7,0.987
2.54,Solomon Alabi,26,0,7,0.6,2,0.314,0,0,0,0.6,2,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,2.54
5.794,Mark Alarie,325,41,16.9,3.2,6.7,0.475,0.1,0.4,0.252,3.1,6.3,0.49,0.483,1,1.3,0.775,1.3,2.1,3.4,1.1,0.4,0.3,1,2.2,7.5,5.794
3.645,Gary Alcorn,78,0,10.8,1.3,4.5,0.293,0,0,0,1.3,4.5,0.293,0.293,0.7,1.2,0.598,0,0,4.2,0.3,0,0,0,2.2,3.3,3.645
5.811,Furkan Aldemir,41,9,13.2,1,1.9,0.513,0,0.1,0,1,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,5.811
5.88,Cole Aldrich,278,23,11.1,1.5,2.8,0.534,0,0,0,1.5,2.8,0.534,0.534,0.6,0.8,0.751,1.1,2.7,3.8,0.6,0.4,0.8,0.7,1.6,3.6,5.88
14.778,LaMarcus Aldridge,743,702,34.9,7.8,16,0.487,0.1,0.3,0.275,7.7,15.7,0.491,0.49,3.5,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1,1.6,2.5,19.2,14.778
4.575,Chuck Aleksinas,74,4,15.1,2.2,4.6,0.478,0,0,0,2.2,4.5,0.479,0.478,0.7,1,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1,2.3,5.1,4.575
